tx,genotype,stage,mean_percent_survival,std_dev_survival
AD80-10uM,Control,Adult,79.79,3.884
AD80-10uM,Control,Pupae,85.26,2.826
AD80-10uM,RET2B,Adult,11.13,4.764
AD80-10uM,RET2B,Pupae,32.93,3.543
AD80-1uM,Control,Adult,90.57,2.923
AD80-1uM,Control,Pupae,94.42,3.145
AD80-1uM,RET2B,Adult,0,0
AD80-1uM,RET2B,Pupae,42.08,8.51
AD80-50uM,Control,Adult,79.04,15.11
AD80-50uM,Control,Pupae,83.44,14.03
AD80-50uM,RET2B,Adult,27.03,14.31
AD80-50uM,RET2B,Pupae,35.43,16.14
APS 6-45 10uM,Control,Adult,81.45,9.063
APS 6-45 10uM,Control,Pupae,84.71,8.563
APS 6-45 10uM,RET2B,Adult,1.393,1.827
APS 6-45 10uM,RET2B,Pupae,35.82,8.936
APS 6-45 1uM,Control,Adult,73.32,3.542
APS 6-45 1uM,Control,Pupae,78.37,4.053
APS 6-45 1uM,RET2B,Adult,0,0
APS 6-45 1uM,RET2B,Pupae,35.17,13.62
APS 6-45 50uM,Control,Adult,73.67,9.472
APS 6-45 50uM,Control,Pupae,77.58,9.934
APS 6-45 50uM,RET2B,Adult,22.02,6.041
APS 6-45 50uM,RET2B,Pupae,40.17,13.28
DMSO,Control,Adult,87.14,8.244
DMSO,Control,Pupae,88.75,8.119
DMSO,RET2B,Adult,0,0
DMSO,RET2B,Pupae,30.88,13.12
ZINC4090-10uM,Control,Adult,70.12,6.831
ZINC4090-10uM,Control,Pupae,80.05,6.459
ZINC4090-10uM,RET2B,Adult,0.8333,1.667
ZINC4090-10uM,RET2B,Pupae,28.36,6.713
ZINC4090-1uM,Control,Adult,74.46,9.522
ZINC4090-1uM,Control,Pupae,79.1,9.883
ZINC4090-1uM,RET2B,Adult,0,0
ZINC4090-1uM,RET2B,Pupae,33.74,13.92
ZINC4090-50uM,Control,Adult,74.58,7.31
ZINC4090-50uM,Control,Pupae,78.3,6.793
ZINC4090-50uM,RET2B,Adult,1.042,2.083
ZINC4090-50uM,RET2B,Pupae,31.19,8.981
ZINC9820-10uM,Control,Adult,71.82,7.341
ZINC9820-10uM,Control,Pupae,80.01,7.54
ZINC9820-10uM,RET2B,Adult,0,0
ZINC9820-10uM,RET2B,Pupae,44.33,6.278
ZINC9820-1uM,Control,Adult,86.17,2.294
ZINC9820-1uM,Control,Pupae,91.3,0.9639
ZINC9820-1uM,RET2B,Adult,1.064,2.128
ZINC9820-1uM,RET2B,Pupae,29.37,3.481
ZINC9820-50uM,Control,Adult,79.63,5.743
ZINC9820-50uM,Control,Pupae,84.9,9.132
ZINC9820-50uM,RET2B,Adult,1.515,3.03
ZINC9820-50uM,RET2B,Pupae,32.9,13.84
